Team,Code,colon,apostrophe,full
Arizona Cardinals,crd, : ,"""","""Arizona Cardinals"" : ""crd"""
Atlanta Falcons,atl, : ,"""","""Atlanta Falcons"" : ""atl"""
Baltimore Ravens,rav, : ,"""","""Baltimore Ravens"" : ""rav"""
Buffalo Bills,buf, : ,"""","""Buffalo Bills"" : ""buf"""
Carolina Panthers,car, : ,"""","""Carolina Panthers"" : ""car"""
Chicago Bears,chi, : ,"""","""Chicago Bears"" : ""chi"""
Cincinnati Bengals,cin, : ,"""","""Cincinnati Bengals"" : ""cin"""
Cleveland Browns,cle, : ,"""","""Cleveland Browns"" : ""cle"""
Dallas Cowboys,dal, : ,"""","""Dallas Cowboys"" : ""dal"""
Denver Broncos,den, : ,"""","""Denver Broncos"" : ""den"""
Detroit Lions,det, : ,"""","""Detroit Lions"" : ""det"""
Green Bay Packers,gnb, : ,"""","""Green Bay Packers"" : ""gnb"""
Houston Texans,htx, : ,"""","""Houston Texans"" : ""htx"""
Indianapolis Colts,clt, : ,"""","""Indianapolis Colts"" : ""clt"""
Jacksonville Jaguars,jax, : ,"""","""Jacksonville Jaguars"" : ""jax"""
Kansas City Chiefs,kan, : ,"""","""Kansas City Chiefs"" : ""kan"""
Las Vegas Raiders,rai, : ,"""","""Las Vegas Raiders"" : ""rai"""
Los Angeles Chargers,sdg, : ,"""","""Los Angeles Chargers"" : ""sdg"""
Los Angeles Rams,ram, : ,"""","""Los Angeles Rams"" : ""ram"""
Miami Dolphins,mia, : ,"""","""Miami Dolphins"" : ""mia"""
Minnesota Vikings,min, : ,"""","""Minnesota Vikings"" : ""min"""
New England Patriots,nwe, : ,"""","""New England Patriots"" : ""nwe"""
New Orleans Saints,nor, : ,"""","""New Orleans Saints"" : ""nor"""
New York Giants,nyg, : ,"""","""New York Giants"" : ""nyg"""
New York Jets,nyj, : ,"""","""New York Jets"" : ""nyj"""
Philadelphia Eagles,phi, : ,"""","""Philadelphia Eagles"" : ""phi"""
Pittsburgh Steelers,pit, : ,"""","""Pittsburgh Steelers"" : ""pit"""
San Francisco 49ers,sfo, : ,"""","""San Francisco 49ers"" : ""sfo"""
Seattle Seahawks,sea, : ,"""","""Seattle Seahawks"" : ""sea"""
Tampa Bay Buccaneers,tam, : ,"""","""Tampa Bay Buccaneers"" : ""tam"""
Tennessee Titans,oti, : ,"""","""Tennessee Titans"" : ""oti"""
Washington Commanders,was, : ,"""","""Washington Commanders"" : ""was"""
